,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
26,26,-0.14007277164461918,2020-08-08 01:27:05.277067,2020-08-08 01:48:05.858934,0 days 00:21:00.581867000,384,80.0,0.0026797408499141563,0.5862367643778219,58,0.00016068357241188951,COMPLETE
27,27,-0.06798430753078287,2020-08-08 01:48:05.859421,2020-08-08 02:27:50.672616,0 days 00:39:44.813195000,128,96.0,0.001547601644455162,0.5093440661212696,80,0.000569017423682548,COMPLETE
28,28,-0.12432499648937262,2020-08-08 02:27:50.673094,2020-08-08 02:53:28.795570,0 days 00:25:38.122476000,256,112.0,0.0038031284876041947,0.809015663214548,51,0.001930874558495971,COMPLETE
29,29,-0.05586061601992822,2020-08-08 02:53:28.796047,2020-08-08 03:33:17.222197,0 days 00:39:48.426150000,128,80.0,0.0007914405996801079,0.6528827384367374,69,5.566710684652866e-05,COMPLETE
30,30,-0.06567056540508621,2020-08-08 03:33:17.222664,2020-08-08 03:59:36.442981,0 days 00:26:19.220317000,256,64.0,0.00041497844787946364,0.7036512624504462,60,2.5234216680650865e-05,COMPLETE
31,31,-0.11524501856369337,2020-08-08 03:59:36.443447,2020-08-08 04:25:18.259163,0 days 00:25:41.815716000,256,16.0,0.003642806266381125,0.5522017138215711,45,0.0008516268654052965,COMPLETE
32,32,-0.15799554482019756,2020-08-08 04:25:18.259627,2020-08-08 04:50:53.535815,0 days 00:25:35.276188000,256,80.0,0.00484519109399272,0.5058775039103406,37,0.0001561296954205991,COMPLETE
33,33,-0.14737085890059584,2020-08-08 04:50:53.536283,2020-08-08 05:11:34.383606,0 days 00:20:40.847323000,384,80.0,0.004792824597281499,0.8478420103830466,33,9.289452462538229e-05,COMPLETE
34,34,-0.16001654182151448,2020-08-08 05:11:34.384077,2020-08-08 05:36:22.520236,0 days 00:24:48.136159000,256,96.0,0.007859957965369724,0.5645611227533701,25,0.0001879494476831322,COMPLETE
35,35,-0.15550836182256342,2020-08-08 05:36:22.520703,2020-08-08 05:56:36.791613,0 days 00:20:14.270910000,384,96.0,0.007253145999366829,0.6274550008656405,26,0.00016526459184794027,COMPLETE
36,36,-0.15223108135404817,2020-08-08 05:56:36.792074,2020-08-08 06:21:35.313093,0 days 00:24:58.521019000,256,112.0,0.005245101876242125,0.5547167978552744,27,6.466467910067729e-05,COMPLETE
37,37,-0.1291860202498469,2020-08-08 06:21:35.313561,2020-08-08 06:42:07.718178,0 days 00:20:32.404617000,384,96.0,0.008921513932443564,0.5778931979353483,78,2.0613927880503037e-05,COMPLETE
38,38,-0.11554862190776703,2020-08-08 06:42:07.718643,2020-08-08 07:21:23.442623,0 days 00:39:15.723980000,128,128.0,0.002235156811633619,0.6503862460809232,13,5.492691488656539e-06,COMPLETE
39,39,-0.143301176851415,2020-08-08 07:21:23.443091,2020-08-08 07:46:10.485176,0 days 00:24:47.042085000,256,112.0,0.006024951981507555,0.6255264561311809,14,1.642467898739947e-06,COMPLETE
40,40,-0.0646792287461134,2020-08-08 07:46:10.485642,2020-08-08 08:06:57.869530,0 days 00:20:47.383888000,384,64.0,0.0014349675381878633,0.5235311194183153,20,4.303944029098462e-05,COMPLETE
41,41,-0.1614701284855559,2020-08-08 08:06:57.869998,2020-08-08 08:27:03.106017,0 days 00:20:05.236019000,384,96.0,0.007526046400288152,0.6096538678224007,37,0.00019245097412756265,COMPLETE
42,42,-0.15961946920729259,2020-08-08 08:27:03.106485,2020-08-08 08:48:01.784496,0 days 00:20:58.678011000,384,80.0,0.007892895475479462,0.5986248521634324,34,0.000466098575384492,COMPLETE
43,43,-0.15328597572900377,2020-08-08 08:48:01.784967,2020-08-08 09:08:32.416072,0 days 00:20:30.631105000,384,96.0,0.008224577229127157,0.5690147770811401,35,0.00043631589241824726,COMPLETE
44,44,-0.15844827603551495,2020-08-08 09:08:32.416675,2020-08-08 09:26:18.619944,0 days 00:17:46.203269000,512,112.0,0.006515633936687081,0.6704297559336923,39,0.0002276665147967381,COMPLETE
45,45,-0.1581624270334572,2020-08-08 09:26:18.620541,2020-08-08 09:43:54.312106,0 days 00:17:35.691565000,512,112.0,0.0065381539451918585,0.6091429485997424,28,0.0011917969758771844,COMPLETE
46,46,-0.15699336249579432,2020-08-08 09:43:54.312592,2020-08-08 10:01:15.563443,0 days 00:17:21.250851000,512,128.0,0.009779282620998891,0.6726359513617748,38,0.00026495867744710756,COMPLETE
47,47,-0.1639533537213601,2020-08-08 10:01:15.563920,2020-08-08 10:18:58.894360,0 days 00:17:43.330440000,512,112.0,0.007935538073993975,0.6107372292841752,30,0.0004894578212121667,COMPLETE
48,48,-0.15454946475654432,2020-08-08 10:18:58.894833,2020-08-08 10:36:58.848175,0 days 00:17:59.953342000,384,96.0,0.008031084012190066,0.6043687533590018,18,0.0005291587433489468,COMPLETE
49,49,-0.16044242966715422,2020-08-08 10:36:58.848638,2020-08-08 10:54:37.317702,0 days 00:17:38.469064000,384,96.0,0.00996780169928615,0.636593990364261,30,0.0001078061627630144,COMPLETE
