,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_weight_decay,state
10,10,-0.06662039187940536,2020-09-02 14:53:34.203663,2020-09-02 15:10:05.690910,0 days 00:16:31.487247000,0.002766929972677589,512,64.0,0.00011038244995243999,0.9864955917385144,1.20056391462642e-06,COMPLETE
11,11,-0.1123239474830019,2020-09-02 15:10:05.691373,2020-09-02 15:26:36.000092,0 days 00:16:30.308719000,0.00045574700243864726,512,16.0,0.0007185520010972146,0.9768709730050358,0.0002752465006056181,COMPLETE
12,12,-0.1479283391422736,2020-09-02 15:26:36.000595,2020-09-02 15:43:13.524249,0 days 00:16:37.523654000,1.5419198360129462e-05,512,48.0,0.000955123982991616,0.6109774811214088,0.00013063675157889602,COMPLETE
13,13,-0.15047472649998667,2020-09-02 15:43:13.524714,2020-09-02 15:59:49.997727,0 days 00:16:36.473013000,0.0003367731573969004,512,48.0,0.0016720057842203489,0.6233259748978844,1.797433095984921e-06,COMPLETE
14,14,-0.1581349545159731,2020-09-02 15:59:49.998190,2020-09-02 16:16:22.214468,0 days 00:16:32.216278000,0.001084872757207075,512,64.0,0.0015798646899113549,0.6372058644657652,1.3381673046196465e-06,COMPLETE
15,15,-0.15257630722484788,2020-09-02 16:16:22.214928,2020-09-02 16:33:00.189335,0 days 00:16:37.974407000,0.00836153902243596,512,64.0,0.0017795347721536628,0.6416297239530192,4.489249697743561e-06,COMPLETE
16,16,-0.12694743103424835,2020-09-02 16:33:00.189794,2020-09-02 16:52:02.249676,0 days 00:19:02.059882000,0.008950809255811492,384,80.0,0.0003549612483761897,0.6541446676097351,7.708313169926536e-06,COMPLETE
17,17,-0.1217038864414563,2020-09-02 16:52:02.250137,2020-09-02 17:16:04.576953,0 days 00:24:02.326816000,0.002298137522501267,256,64.0,0.001831491712034236,0.5703000369032506,6.769829108228089e-06,COMPLETE
18,18,-0.13829330261632233,2020-09-02 17:16:04.577410,2020-09-02 17:32:39.713353,0 days 00:16:35.135943000,0.007755277262111907,512,128.0,0.0003816641501718193,0.7730154168800834,2.4147470179103894e-05,COMPLETE
19,19,-0.13622596960180294,2020-09-02 17:32:39.713813,2020-09-02 17:51:47.163945,0 days 00:19:07.450132000,0.0015400892870655243,384,64.0,0.0018577078290979204,0.6825063788367529,1.2040836724845114e-06,COMPLETE
20,20,-0.13751190672921812,2020-09-02 17:51:47.164404,2020-09-02 18:08:17.502134,0 days 00:16:30.337730000,0.0007022294893623791,512,80.0,0.0005593460594818497,0.5300861592886851,3.659821572462499e-06,COMPLETE
21,21,-0.14309864455282875,2020-09-02 18:08:17.502595,2020-09-02 18:24:47.029601,0 days 00:16:29.527006000,0.0002536228813595245,512,32.0,0.0017486023618479842,0.6418948556501872,2.7634523947514895e-06,COMPLETE
22,22,-0.15465080140149412,2020-09-02 18:24:47.030062,2020-09-02 18:41:17.352524,0 days 00:16:30.322462000,0.0008666772367914439,512,48.0,0.0014413628816673885,0.6047410293240032,1.0484367115139396e-06,COMPLETE
23,23,-0.15830861368737187,2020-09-02 18:41:17.352984,2020-09-02 18:57:46.915374,0 days 00:16:29.562390000,0.004960287554996322,512,64.0,0.0014016761373462513,0.5936689604025778,1.8759723472518928e-05,COMPLETE
24,24,-0.14637698372625418,2020-09-02 18:57:46.915843,2020-09-02 19:16:45.531457,0 days 00:18:58.615614000,0.0010204489885914157,384,48.0,0.001281814245498116,0.5917395001976126,1.2051246303870729e-05,COMPLETE
25,25,-0.0960310699986884,2020-09-02 19:16:45.531919,2020-09-02 19:33:18.683025,0 days 00:16:33.151106000,0.004376260810695829,512,32.0,0.0005440133214936429,0.5079577702307299,4.4393742443214004e-05,COMPLETE
26,26,-0.150946577780546,2020-09-02 19:33:18.683484,2020-09-02 19:49:48.532635,0 days 00:16:29.849151000,0.0010803877076086348,512,80.0,0.0012201998843757882,0.6841782432556617,0.0004382229510759537,COMPLETE
27,27,-0.1300088450543753,2020-09-02 19:49:48.533096,2020-09-02 20:09:11.478804,0 days 00:19:22.945708000,0.004269130329673175,384,64.0,0.0025079298970672893,0.5690338026796675,1.0157859638287807e-06,COMPLETE
28,28,-0.06409894705450735,2020-09-02 20:09:11.479266,2020-09-02 20:25:45.027613,0 days 00:16:33.548347000,0.0005767939588432076,512,48.0,0.00014711490234167295,0.5991889593165419,1.3571580248138608e-05,COMPLETE
29,29,-0.12430508805961235,2020-09-02 20:25:45.028075,2020-09-02 20:45:13.292441,0 days 00:19:28.264366000,0.00015689581543015652,384,96.0,0.00432378013503174,0.8000195358829758,2.523426758922827e-06,COMPLETE
