,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
26,26,-0.10906426639222075,2020-08-12 21:04:09.883931,2020-08-12 21:25:34.228869,0 days 00:21:24.344938000,384,80.0,0.0012753213756596118,0.6448451633725654,54,2.0424063086506244e-06,COMPLETE
27,27,-0.09569568215786475,2020-08-12 21:25:34.229341,2020-08-12 21:55:16.841426,0 days 00:29:42.612085000,256,112.0,0.0006569262320726708,0.7181142461104426,66,7.5728145432645255e-06,COMPLETE
28,28,-0.15824524234806076,2020-08-12 21:55:16.841904,2020-08-12 22:16:33.925995,0 days 00:21:17.084091000,384,48.0,0.0024737420548003116,0.5476677160798267,31,5.1972586262634694e-05,COMPLETE
29,29,-0.010982207633575873,2020-08-12 22:16:33.926464,2020-08-12 22:33:59.947018,0 days 00:17:26.020554000,512,48.0,0.0008591547635757045,0.5892657269693046,22,7.856013727211072e-05,COMPLETE
30,30,-0.09200727420064611,2020-08-12 22:33:59.947492,2020-08-12 22:50:57.467523,0 days 00:16:57.520031000,512,48.0,0.0096181255451662,0.5323095457703427,30,7.489746343054476e-05,COMPLETE
31,31,-0.079965800278479,2020-08-12 22:50:57.467996,2020-08-12 23:12:33.423261,0 days 00:21:35.955265000,384,32.0,0.0020935164618148877,0.549343726533108,38,2.0067477005919765e-06,COMPLETE
32,32,-0.15693248650907157,2020-08-12 23:12:33.423734,2020-08-12 23:33:45.928141,0 days 00:21:12.504407000,384,64.0,0.002462853825076016,0.557833984252361,35,1.6834654428082473e-05,COMPLETE
33,33,-0.10188472314161559,2020-08-12 23:33:45.928623,2020-08-12 23:55:02.297101,0 days 00:21:16.368478000,384,64.0,0.0047754993802485955,0.596119579020395,24,1.9809685925145685e-05,COMPLETE
34,34,-0.010414103589857737,2020-08-12 23:55:02.297592,2020-08-13 00:16:14.662771,0 days 00:21:12.365179000,384,32.0,0.0012719052497484132,0.63695784641384,13,1.742353009729235e-05,COMPLETE
35,35,-0.07593288403902315,2020-08-13 00:16:14.663244,2020-08-13 00:46:13.277028,0 days 00:29:58.613784000,256,64.0,0.001713101803659788,0.573251928316824,16,4.9441800487840804e-05,COMPLETE
36,36,-0.13623878712703186,2020-08-13 00:46:13.277505,2020-08-13 01:07:31.133727,0 days 00:21:17.856222000,384,48.0,0.0024934493757269513,0.7038268065455602,35,5.723924424176068e-06,COMPLETE
37,37,-0.09354292436581074,2020-08-13 01:07:31.134207,2020-08-13 01:29:19.581032,0 days 00:21:48.446825000,384,80.0,0.003979019329768655,0.5056448240757268,25,0.00015045709488256835,COMPLETE
38,38,-0.13983039071024594,2020-08-13 01:29:19.581503,2020-08-13 01:59:18.627836,0 days 00:29:59.046333000,256,128.0,0.00270142142263007,0.7603465451128446,18,1.274396101857156e-05,COMPLETE
39,39,-0.1252097868402609,2020-08-13 01:59:18.628309,2020-08-13 02:29:20.454978,0 days 00:30:01.826669000,256,128.0,0.002863697382692565,0.7718622382144807,18,1.4019878950886113e-05,COMPLETE
40,40,-0.07353262866672308,2020-08-13 02:29:20.455454,2020-08-13 02:59:33.882688,0 days 00:30:13.427234000,256,32.0,0.0009363109056729805,0.8358116325663125,32,4.2061012639686806e-05,COMPLETE
41,41,-0.09061153860875523,2020-08-13 02:59:33.883164,2020-08-13 03:54:59.895403,0 days 00:55:26.012239000,128,128.0,0.0018898962000583042,0.8224438030429048,41,2.9590568816630143e-05,COMPLETE
42,42,-0.09101118341617284,2020-08-13 03:54:59.895889,2020-08-13 04:16:44.807036,0 days 00:21:44.911147000,384,64.0,0.001305609059722702,0.807637151429233,27,0.00014519000289042297,COMPLETE
43,43,-0.11923679616611343,2020-08-13 04:16:44.807509,2020-08-13 04:38:26.699740,0 days 00:21:41.892231000,384,128.0,0.003663791866706696,0.774048365209288,21,1.4293625354002086e-05,COMPLETE
44,44,-0.13817530387102606,2020-08-13 04:38:26.700224,2020-08-13 05:33:37.741259,0 days 00:55:11.041035000,128,112.0,0.0027224535560492814,0.5391789315587965,12,5.452842840261686e-06,COMPLETE
45,45,-0.06000371041498373,2020-08-13 05:33:37.741744,2020-08-13 06:03:13.750267,0 days 00:29:36.008523000,256,48.0,0.0014797752757030296,0.6532124813148387,43,0.0007283498919537628,COMPLETE
46,46,-0.09059929092533436,2020-08-13 06:03:13.750744,2020-08-13 06:24:34.949204,0 days 00:21:21.198460000,384,64.0,0.006642805469383373,0.8577309738782054,29,2.7643725981296146e-05,COMPLETE
47,47,-0.11734926344969103,2020-08-13 06:24:34.949688,2020-08-13 06:54:20.038476,0 days 00:29:45.088788000,256,80.0,0.001136461929817087,0.7419288208502539,32,6.32097999242095e-05,COMPLETE
48,48,-0.08981184567916048,2020-08-13 06:54:20.038954,2020-08-13 07:16:04.088295,0 days 00:21:44.049341000,384,64.0,0.003348283398736591,0.6911206852576821,46,1.0647887386901894e-05,COMPLETE
49,49,-0.10940653983518077,2020-08-13 07:16:04.088793,2020-08-13 08:13:07.090046,0 days 00:57:03.001253000,128,80.0,0.0017076765550317796,0.6205234555815913,18,5.832009150137369e-06,COMPLETE
