,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
27,27,-0.11756583230595585,2020-08-07 15:32:14.243237,2020-08-07 15:37:43.179990,0 days 00:05:28.936753000,2.2097226124492104e-06,512,96.0,0.0070187591755636325,0.9168627287393185,33,0.007556566767657844,COMPLETE
28,28,-0.05158544271084359,2020-08-07 15:37:43.180527,2020-08-07 15:42:58.934623,0 days 00:05:15.754096000,2.7462186217544486e-06,384,32.0,0.0018155501832630453,0.6313407366498782,23,0.00013277073648723767,COMPLETE
29,29,-0.12377496567587458,2020-08-07 15:42:58.935157,2020-08-07 15:48:25.435425,0 days 00:05:26.500268000,8.713706675380273e-06,128,80.0,0.009970323030587118,0.782049603530957,78,2.679098371043315e-06,COMPLETE
30,30,-0.12791055989660882,2020-08-07 15:48:25.435939,2020-08-07 15:53:26.969458,0 days 00:05:01.533519000,1.9462810394794728e-05,256,112.0,0.004253502793073493,0.860250844694036,75,1.1530376378752485e-05,COMPLETE
31,31,-0.12597730628904458,2020-08-07 15:53:26.969983,2020-08-07 15:59:03.672707,0 days 00:05:36.702724000,1.8967485880767498e-05,256,112.0,0.004155426998902995,0.8808369612138391,77,1.1983049766160684e-05,COMPLETE
32,32,-0.12545858588105638,2020-08-07 15:59:03.673240,2020-08-07 16:04:15.799757,0 days 00:05:12.126517000,9.692060860980291e-05,128,112.0,0.004207189799598068,0.8247387820033811,96,4.3833959636054505e-05,COMPLETE
33,33,-0.09769587168585847,2020-08-07 16:04:15.800296,2020-08-07 16:10:05.786551,0 days 00:05:49.986255000,3.7294382464679894e-05,256,128.0,0.0011212737766860157,0.9518588961615972,78,6.8697857393445695e-06,COMPLETE
34,34,-0.12736869678103124,2020-08-07 16:10:05.787078,2020-08-07 16:15:04.047405,0 days 00:04:58.260327000,7.804122200617886e-05,256,112.0,0.007121757101029365,0.8542563155575885,66,3.5325574711690636e-05,COMPLETE
35,35,-0.10974387179033034,2020-08-07 16:15:04.047953,2020-08-07 16:20:18.881404,0 days 00:05:14.833451000,0.00036946349720620096,128,112.0,0.006984341485272158,0.7175862298787139,66,0.00016525542455672588,COMPLETE
36,36,-0.11294355486086965,2020-08-07 16:20:18.882165,2020-08-07 16:25:23.107802,0 days 00:05:04.225637000,0.0001526941515344875,256,96.0,0.007290540424916144,0.848869589706418,71,4.244381424655679e-05,COMPLETE
37,37,-0.11900107545936633,2020-08-07 16:25:23.108336,2020-08-07 16:30:23.147205,0 days 00:05:00.038869000,6.213193130924974e-05,256,112.0,0.005901848827423366,0.7590413721235706,63,0.00017345616298727187,COMPLETE
38,38,-0.10380818574637177,2020-08-07 16:30:23.147734,2020-08-07 16:35:34.280719,0 days 00:05:11.132985000,0.0003559615244772911,128,96.0,0.004671274629667167,0.7914872043720842,57,0.0006258703446066461,COMPLETE
39,39,-0.1082016487886619,2020-08-07 16:35:34.281253,2020-08-07 16:40:42.630453,0 days 00:05:08.349200000,0.0008339139126191938,256,128.0,0.0021585025728569607,0.7247443075469302,82,6.364813599941792e-05,COMPLETE
40,40,-0.10095209236837564,2020-08-07 16:40:42.630991,2020-08-07 16:46:30.779135,0 days 00:05:48.148144000,5.981759116232181e-05,256,112.0,0.0011551708950802214,0.6944126092564668,73,2.2104631301288677e-05,COMPLETE
41,41,-0.12301404442913685,2020-08-07 16:46:30.779666,2020-08-07 16:51:47.438105,0 days 00:05:16.658439000,1.6890493810763665e-05,256,112.0,0.003827926860920946,0.8928063177447594,61,1.6014919563346187e-05,COMPLETE
42,42,-0.0845916234665163,2020-08-07 16:51:47.438637,2020-08-07 16:57:36.943161,0 days 00:05:49.504524000,1.3697237619837767e-05,256,112.0,0.000578175765922671,0.8629350695347717,76,9.296868768816497e-06,COMPLETE
43,43,-0.12422612844887773,2020-08-07 16:57:36.943701,2020-08-07 17:03:05.214869,0 days 00:05:28.271168000,5.684305263897389e-06,256,128.0,0.002945145794477346,0.9609856395855384,93,3.313079845739229e-05,COMPLETE
44,44,-0.11912881769758138,2020-08-07 17:03:05.215404,2020-08-07 17:08:16.529828,0 days 00:05:11.314424000,9.413497132634205e-05,256,96.0,0.007630582226257023,0.8041283162178099,83,1.375230614739886e-05,COMPLETE
45,45,-0.11418111460453845,2020-08-07 17:08:16.530359,2020-08-07 17:13:18.032666,0 days 00:05:01.502307000,4.138359983267951e-05,256,96.0,0.005710473904391237,0.8751196113678147,66,8.671367799189748e-05,COMPLETE
46,46,-0.12224425890759097,2020-08-07 17:13:18.033198,2020-08-07 17:18:31.120362,0 days 00:05:13.087164000,1.4363594900007817e-06,384,112.0,0.009926349347619122,0.9342963483710611,83,5.115009785143489e-06,COMPLETE
47,47,-0.1259998831136469,2020-08-07 17:18:31.120902,2020-08-07 17:23:43.078848,0 days 00:05:11.957946000,1.9118997476030364e-05,256,128.0,0.004381681176226982,0.8472206591837419,88,0.00026931300673067323,COMPLETE
48,48,-0.12654914877219461,2020-08-07 17:23:43.079385,2020-08-07 17:28:59.584790,0 days 00:05:16.505405000,0.00013507921203100975,384,128.0,0.0047862506546908845,0.8446420738511611,90,0.00023835650092253967,COMPLETE
49,49,-0.11860399458238496,2020-08-07 17:28:59.585330,2020-08-07 17:33:55.312737,0 days 00:04:55.727407000,0.0008974352962247969,384,128.0,0.007869270447602794,0.8121865156894795,100,0.00035283941588266384,COMPLETE
