,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_embedding_dim,params_lr,params_lr_decay_rate,params_warmup,params_weight_decay,state
30,30,-0.1235786816067796,2020-08-07 15:44:33.408393,2020-08-07 15:49:57.022516,0 days 00:05:23.614123000,512,80.0,0.0072489056659386505,0.9353947420711224,30,0.0011329253374333923,COMPLETE
31,31,-0.13781136667669416,2020-08-07 15:49:57.023005,2020-08-07 15:55:00.057694,0 days 00:05:03.034689000,512,112.0,0.0052856687334736354,0.8086134440073516,23,0.000473848493047829,COMPLETE
32,32,-0.1484774921128469,2020-08-07 15:55:00.058193,2020-08-07 16:00:34.101682,0 days 00:05:34.043489000,512,96.0,0.009509289628238063,0.8039935916082035,18,0.0005268419728226677,COMPLETE
33,33,-0.1407132683811692,2020-08-07 16:00:34.102171,2020-08-07 16:05:37.434050,0 days 00:05:03.331879000,512,96.0,0.009688011436150001,0.7972079491495662,10,0.0005356380584893297,COMPLETE
34,34,-0.12657008247878432,2020-08-07 16:05:37.434538,2020-08-07 16:10:50.661691,0 days 00:05:13.227153000,512,96.0,0.008858608116083128,0.7980749864599912,10,0.0006708537020295217,COMPLETE
35,35,-0.14011176516835935,2020-08-07 16:10:50.662391,2020-08-07 16:15:50.175139,0 days 00:04:59.512748000,512,96.0,0.009935917321850798,0.8091657678714416,20,0.0004651959433082013,COMPLETE
36,36,-0.00577821404589929,2020-08-07 16:15:50.175618,2020-08-07 16:20:57.959531,0 days 00:05:07.783913000,512,96.0,0.00010802953043884158,0.8284284698371556,16,0.0003981400081470563,COMPLETE
37,37,-0.13509277438080533,2020-08-07 16:20:57.960013,2020-08-07 16:25:56.702987,0 days 00:04:58.742974000,512,80.0,0.009998523593696964,0.7909893034673527,21,0.005198365193421713,COMPLETE
38,38,-0.11199631653067617,2020-08-07 16:25:56.703469,2020-08-07 16:31:05.862519,0 days 00:05:09.159050000,512,96.0,0.005138730147926275,0.7312202127647963,13,0.0004938428860297342,COMPLETE
39,39,-0.008776787355425319,2020-08-07 16:31:05.863011,2020-08-07 16:36:18.750865,0 days 00:05:12.887854000,384,80.0,0.0001844222926925964,0.8384202594185416,11,0.0012281207491483016,COMPLETE
40,40,-0.13073663736625257,2020-08-07 16:36:18.751349,2020-08-07 16:41:15.485986,0 days 00:04:56.734637000,512,96.0,0.008306643423537742,0.7376765251505946,58,7.524330397394795e-05,COMPLETE
41,41,-0.1346419208068289,2020-08-07 16:41:15.486476,2020-08-07 16:46:25.494304,0 days 00:05:10.007828000,512,96.0,0.006544643405945841,0.8601390204338879,21,0.0005808599463722959,COMPLETE
42,42,-0.12015263166996201,2020-08-07 16:46:25.494788,2020-08-07 16:51:28.362171,0 days 00:05:02.867383000,512,96.0,0.005143784135372259,0.8196658656859982,16,0.0003303203953961986,COMPLETE
43,43,-0.13392864952671335,2020-08-07 16:51:28.362673,2020-08-07 16:56:43.676557,0 days 00:05:15.313884000,512,128.0,0.009722165489953005,0.7758256934429685,26,3.921829722039196e-05,COMPLETE
44,44,-0.10230598560406404,2020-08-07 16:56:43.677044,2020-08-07 17:01:48.029456,0 days 00:05:04.352412000,512,112.0,0.003346381903631216,0.8770179192279658,10,0.0010304402856212743,COMPLETE
45,45,-0.08937548871398009,2020-08-07 17:01:48.029952,2020-08-07 17:06:55.614566,0 days 00:05:07.584614000,512,48.0,0.004000429280901402,0.8095949697082061,97,0.00021638548094316519,COMPLETE
46,46,-0.10779275014171924,2020-08-07 17:06:55.615059,2020-08-07 17:11:56.775223,0 days 00:05:01.160164000,384,64.0,0.008199501646960898,0.8422871385386501,19,0.0004864623976622554,COMPLETE
47,47,-0.09000467424371555,2020-08-07 17:11:56.775723,2020-08-07 17:17:02.895584,0 days 00:05:06.119861000,512,80.0,0.002639379945222042,0.7197803499110578,25,0.0020260493322172913,COMPLETE
48,48,-0.11351981337335246,2020-08-07 17:17:02.896074,2020-08-07 17:22:10.819944,0 days 00:05:07.923870000,512,96.0,0.005190392140481217,0.7690940872223468,14,6.719387744946978e-05,COMPLETE
49,49,-0.1374423854209706,2020-08-07 17:22:10.820451,2020-08-07 17:27:31.943282,0 days 00:05:21.122831000,384,128.0,0.006254083639834181,0.7843480940587195,88,0.00013776337567207876,COMPLETE
